word,domain
base,
base,
baseless,
base,
basing,His
basing,His
region,
regional,
regionally,
regionalism,His
regionalist,Hum
regional,Hum+Fin
regionalist,
current,
currently,
current,
image,
imagery,
imaging,Sci
image,Sci
imaged,
imaging,Sci
strategy,
strategic,
strategically,
strategist,Fin
exist,
existing,
existence,
nonexistent,
existent,
population,
populate,
populated,
unpopulated,
international,
internationally,
internationalism,His
internationalization,Law
internationalist,His+Law
internationalize,His
international,Edu
internationalist,His
project,
project,
projection,
projected,
projecting,Hum
projective,
projectionist,
standard,
standard,
standardized,Edu
standardize,
standardization,
substandard,
standardised,Med
unstandardized,Soc
subject,
subject,
subject,
subject,Edu
period,
periodic,
periodically,
periodical,
periodicity,Sci
type,
type,
subtype,Edu
describe,
described,
indescribable,Hum
describer,Rel
indescribably,
condition,
conditioning,Med
condition,
conditional,
unconditional,
conditioner,Med
conditioned,Rel
unconditionally,
conditional,
conditionally,
unconditioned,Rel
improve,
improvement,
improved,
improving,
unimproved,
material,
materialism,Rel
material,
materially,
materialistic,Rel
materiality,Hum
materialist,
materialist,Hum
note,
note,Law
notably,
notable,
noted,
notable,His
define,
definition,
redefine,
defining,
defined,
redefinition,
undefined,
definitional,Edu
definable,
predefined,
redefined,
indefinable,Hum
undefinable,
redefining,Edu+Hum
establish,
establishment,
established,
reestablishment,
establishing,Hum
produce,
producer,
produce,Med
producing,
produced,
response,
response,
responsive,Edu
responsiveness,
unresponsive,
responsively,Edu+Law
likely,
likely,
unlikely,
likelihood,
influence,
influence,
influential,
influencing,Edu
uninfluenced,
knowledge,
knowledgeable,Edu
knowledgeably,
knowledgable,
represent,
representation,Hum
representative,
representative,
rep,Law+Med
representational,Hum
representativeness,
unrepresentative,
representing,
unrepresented,Law
common,
commonly,
uncommon,
common,
commoner,
uncommonly,
commonness,Edu
limit,
limited,
limit,
limitation,
limiting,
unlimited,
limitless,
approach,
approach,
approaching,
approachable,Edu
unapproachable,Hum
theory,
theorist,
environmental,
enjoy,
enjoyment,Soc
enjoyable,
source,
source,
sourcing,
mean,
mean,
meaning,
mean,Edu
meaningful,Edu
meaningless,
meaningfully,
meaningfulness,
meaninglessness,Rel
method,
methodology,Edu
methodological,
methodical,
methodologically,
methodically,
available,
availability,
unavailable,
unavailability,
participate,
participation,
participating,
participatory,
participative,
function,
function,
functional,
functioning,Edu
functionally,
functionality,Sci
functioning,
functionalist,
functionalism,Hum
resource,
resourceful,
resourcefulness,
potential,
potential,
potentially,
potentiality,Hum
range,
range,
midrange,Sci
ranging,
century,
nineteenth-century,Hum
twentieth-century,Hum
effective,
effectively,
effectiveness,Edu
ineffective,
cost-effective,
ineffectiveness,
ineffectively,
concept,
conception,
conceptual,
conceptualize,Edu
self-concept,Edu+Soc
conceptualization,Edu
conceptually,
conceptualized,Hum
determine,
determination,
self-determination,
determinant,
determined,
determining,
determinism,Soc
deterministic,
indeterminacy,Hum
undetermined,
determinative,Law+Rel
determinist,
determinedly,Law
determinable,
occur,
occurrence,
reoccur,Med
reoccurring,Edu
occurring,
goal,
article,
environment,
environmentally,Sci
environmentalist,Law
environmentalism,
language,
directly,
direct,
direct,
direct,
center,
central,
center,
centralized,
centrality,
centrally,
centralization,
centralize,
centrist,His+Law
centered,
centralism,
centralizing,Law
centrist,Law
centering,Edu
centralist,
centric,Sci
centering,
section,
subsection,Law
sectional,Hum
section,Med
sectional,Hum
sectioned,Med
refer,
reference,
referral,Edu+Med
reference,
referent,Hum
ref,Sci
referential,Hum
referred,Edu+Med
referenced,Edu
referencing,Hum
reflect,
reflection,
reflective,Edu
reflected,
reflectance,Sci
refrigerated,
reflectively,Edu
reflectiveness,Edu
concern,
concerned,
concerning,
concern,
unconcerned,
unconcern,Rel
quality,
high-quality,
involve,
involved,
involvement,Edu
uninvolved,
move,
movement,
move,
moving,
movable,Hum
mover,
moving,
unmoved,
immovable,
moveable,
movingly,
unmoving,Hum
moved,Rel
unmovable,Hum
contribute,
contribution,
contributor,
contributing,
contributory,Med
noncontributory,Med
select,
selection,
selected,
selective,
select,
selectively,
selectivity,
selector,Sci
unselected,Edu+Med
scale,
subscale,Edu+Soc
large-scale,
scale,
scaling,
scaled,Edu
scalable,Sci
maintain,
maintenance,
maintained,
unmaintained,Sci
male,
male,
maleness,Rel
female,
female,
femaleness,Hum+Rel
primary,
primarily,
primary,
positive,
positively,
positive,
positivism,Rel
positivist,
positivity,Med
positivist,
positivistic,
author,
co-author,Med
authorship,Hum
authorial,Hum
author,
argue,
argument,
arguably,
argumentation,Rel
arguable,
argumentative,
unarguably,
unarguable,Hum
various,
variously,
seek,
seeker,Rel
seeking,Rel
sought,
unsought,
attempt,
attempt,
attempted,
growth,
grow,
growing,
grower,Sci
regrowth,Sci+Med
growing,
grown,
regrow,Sci
test,Edu
test,
testing,
pretest,Edu
posttest,Edu
subtest,Edu
tester,Med
tested,
testable,
untested,
retest,Med
retest,Med
testing,
untestable,
retesting,Edu+Med
example,
lack,
lack,
lacking,
state,
state,
statement,
stated,
unstated,
review,
review,
reviewer,
reviewing,
reviewed,Edu
reviewable,Law
management,
manager,
manage,
managing,
managerial,Edu
managed,Med
manageable,
mismanagement,His
managing,
unmanageable,
mismanage,
mismanaged,
survey,
survey,
surveyor,
surveyed,Edu
surveying,
surveying,Soc
variable,Edu
vary,
variation,
variance,Edu
varying,
variability,
varied,
variable,
variant,
invariably,
invariant,
invariance,Sci
variate,Edu
invariable,Hum
variably,Med
unvarying,
degree,
global,
globalization,
globally,
globalized,
globalize,
globalism,
globalizing,
examine,
examination,Med
examiner,Edu
unexamined,
examined,Rel
examinee,Edu
tend,
tendency,
tending,Hum
tended,
therefore,
pattern,
patterned,
patterning,Hum
pattern,
patterning,Sci
access,
access,
accessible,
accessibility,
inaccessible,
inaccessibility,Hum
interaction,
interact,
interactive,
interacting,
interactional,Med
interactionism,Edu+Soc+Med
interactively,
task,
task,
recognize,
recognizable,Hum
recognized,
unrecognized,
unrecognizable,
recognizably,Hum
recognised,Med
recognisable,Med
previous,
previously,
find,
finding,
find,Soc
finder,Sci
action,
act,
act,
actor,
actress,
inaction,
acting,
acting,
actionable,Law
equal,
equally,
equality,
inequality,
equal,
unequal,
equal,
equalize,
equalization,
unequally,
equalizer,
equalizing,
unequalled,His
impact,
impact,Edu
impacted,
impacting,Sci
conflict,
conflicting,
conflict,
conflictual,
conflicted,Rel
context,
contextual,Edu
contextually,
contextualized,
communication,
communicate,
communicative,Hum
communicator,
communicating,
communicating,Edu
uncommunicative,Rel
African,
African,His
contain,
container,
containment,
contained,
containing,
relatively,
relative,
relative,
relativism,Rel
relativistic,
relativist,
relativize,Rel
critical,
critic,Hum
critically,
uncritical,
uncritically,
purpose,
purposeful,Edu
purposefully,
purposely,
purposive,Edu
purposeless,Rel
purpose,
purposefulness,Edu
purposelessness,Hum+Rel
address,
address,
addressee,Hum
addressed,
success,
successful,
successfully,
unsuccessful,
unsuccessfully,
interpretation,
interpret,
interpretive,
interpreter,
interpretative,Hum
misinterpret,
reinterpretation,
misinterpretation,
reinterpret,
interpretable,Edu
interpreting,
interpreted,
benefit,
benefit,
attitude,
attitudinal,
affect,
affect,Soc
affected,Med
unaffected,
affecting,
understand,
understanding,
understandable,
misunderstanding,
misunderstand,
understandably,
understood,
misunderstood,
understanding,
understandingly,His
link,
link,
linkage,
linked,
linking,
interlink,
interlinked,
reveal,
revelation,Rel
revealing,
revealed,Rel
revealingly,
unrevealed,Rel
reveal,Med
status,
necessary,
necessarily,
unnecessary,
unnecessarily,
necessary,Law
emerge,
emerging,
emergence,
emergent,
emergent,
achieve,
achievement,Edu
achievable,
achiever,Edu
achieved,
unachievable,
indeed,
category,
categorize,
categorization,
categorized,
conduct,
conduct,Law
conductor,Hum
semiconductor,Sci
conductive,Med
conductivity,Sci
conduction,Sci+Med
conducting,Hum
conductance,
modern,
modernity,Hum
postmodern,Hum
modernization,His
modernist,Hum
modernism,Hum
postmodernism,Hum
modernize,
postmodernist,Hum
modernist,Hum
modern,
modernizing,
modernized,
modernizer,His+Hum
postmodern,Rel
modernizing,His
continue,
continuous,
continued,
continuing,
continuity,
continually,
continuously,
continuation,
continual,
continuance,
demonstrate,
demonstration,
demonstrator,
demonstrated,Edu
demo,
demonstrative,Hum
demonstratively,Law
unit,
total,
total,
totally,
total,
totality,
totalizing,Hum
totaled,Hum+Fin
complex,
complexity,
complex,
employee,
employ,
employment,
employer,
unemployment,
unemployed,
employed,
employable,Edu
employ,His
unemployable,Law
promote,
promotion,
promoter,
promotional,
promoted,
promo,Sci
literature,
procedure,
procedural,
appropriate,
inappropriate,Edu
appropriate,
appropriately,
appropriateness,Edu
inappropriately,
inappropriateness,
estimate,
estimate,
estimated,
estimation,
estimator,
negative,
negatively,
negative,
negativity,
negativism,
characteristic,
characteristic,
characteristically,
uncharacteristic,
uncharacteristically,
typically,
typical,
untypical,
challenge,
challenge,
challenging,Edu
challenger,Law
unchallenged,
challenged,Law
unchallengeable,
challengingly,Sci
principle,
principled,Law
unprincipled,Law
element,
ethnic,
ethnicity,
ethnically,
ethnicization,His
ethnical,Edu
depend,
dependent,
depending,
dependent,
dependable,
dependability,Edu
dependant,Soc
depending,
dependably,
undependable,
dependant,Soc
create,
creation,
creative,
creativity,Edu
creator,
re-create,
created,Rel
creatively,
creative,Hum+Fin
western,
midwestern,
westerner,
westernized,
western,
westernize,
integration,
integrate,
integrated,
integrative,
reintegration,
reintegrate,
integrator,Sci
integrating,
aspect,
publish,
publisher,
published,
publishing,
unpublished,
republish,Hum
publishable,Edu+Hum
perspective,
perspectival,Hum
basic,
basically,
basics,
belief,
disbelief,
unbelief,Rel
technique,
outcome,
explore,
exploration,
explorer,Sci
exploratory,Edu
unexplored,
distribution,
distribute,
distributor,Fin
redistribution,
distributed,
redistribute,
distributive,
distributional,
redistributive,Soc
distributing,His
future,
future,
futuristic,
futurist,Hum
futurism,Hum
Futurist,Hum
importance,
unimportance,
independent,
independently,
independent,
initial,
initially,
initial,
initialize,Sci
initialization,Sci
initial,His
feature,
feature,
featured,
featureless,Sci
desire,
desire,
desirable,
desired,
undesirable,
desirability,Soc
undesired,
desirous,
undesirable,
desiring,Hum
undesirability,Law
follow,
following,
follow-up,Med
follow-up,Med
follower,
following,
following,
following,
follow,Med
alternative,
alternative,
alternatively,
consistent,
consistently,
inconsistent,
basis,
contrast,
contrast,
contrasting,
contrastive,Hum
contrasted,
obtain,
obtainable,
unobtainable,
regarding,
regard,
regardless,
regard,
regard,
disregard,
disregard,
regards,
European,
European,His
distinction,
distinct,
distinctive,
distinctly,
distinctiveness,
distinctively,
distinctness,Rel
indistinct,
indistinctly,Hum
express,
expression,
expressive,Hum
expressly,Law
expressed,
express,Law
expressiveness,Hum
expressively,Hum
inexpressible,Hum
unexpressed,Hum+Rel
expressionless,Hum
expressionlessly,
variety,
varietal,
broad,
broadly,
broaden,
broadening,
broadened,
broadening,
broad,Law
component,
component,
frequently,
frequent,
infrequently,
frequent,
infrequent,
assume,
assumed,
unassuming,
add,
additional,
addition,
additionally,Edu
addition,
added,
additive,
additive,Med
adding,Sci
adding,
tool,
tool,Sci
tooling,Sci
tooling,Sci
tooled,Hum
predict,
predictor,Edu+Soc
prediction,
predictive,Edu
predictable,
unpredictable,
predicted,
predictably,
predictability,
unpredictability,
unpredictably,
internal,
internally,
internalize,
internalization,Edu
internalized,
internalizing,Med
labor,
laborer,His
labor,
Labour,Law
laboring,His
labourer,His
labour,His
labored,
engage,
engagement,Edu
engaging,
engaged,
engagingly,
separate,
separate,
separation,
separately,
separated,
separatist,His+Law
separating,
separateness,
separatism,His
separatist,His
separate,Hum
high,
highly,
high,
high,
rely,
reliability,Edu
reliable,
reliance,
reliably,
unreliable,
reliant,
unreliability,Hum
assessment,Edu
assess,
reassess,
reassessment,
assessor,
assessed,
assessable,Hum
assessing,Edu+Med
objective,
objective,
objectivity,
objectively,
objectivism,Rel
encourage,
encouraging,
encouragement,Edu
encouragingly,
adopt,
adoption,
adoptive,Soc
adopted,
adopter,
adopting,
view,
view,
viewer,Hum
worldview,Rel
viewing,
viewable,Sci
stability,
stable,
instability,
stabilize,
unstable,
stabilization,
stable,
stabilizing,
stabilizer,Med
stabilized,
stabilizing,
stable,Fin
client,
instrument,
instrumental,Hum
instrumentation,
instrumentalist,Hum
instrument,Med
instrumental,Soc
extend,
extended,
extender,Sci
extendable,Sci
construction,
construct,
construct,Edu
reconstruction,
reconstruct,
constructive,
constructivist,Edu
constructed,
constructively,
reconstructed,
Constructivist,Edu+Hum
constructor,
unreconstructed,His+Law
demand,
demand,
demanding,
undemanding,
vision,
visionary,
visionary,
propose,
proposal,
proposed,
proposer,Rel
efficiency,
efficient,
efficiently,
inefficient,
inefficiency,
inefficiently,
solution,
multiple,
multiple,
conclusion,
overall,
overall,
overall,
presence,
claim,
claim,
claimant,Law
claimed,
unclaimed,
transform,
transformation,
transformational,Edu
transformer,Sci
transformed,
generate,
generating,
generative,Hum
generated,
failure,
advanced,
advance,
advance,
advancement,
advancing,
advance,
connection,
connect,
connected,
connector,Sci
connecting,
connectedness,
connectivity,Sci
interconnection,
reconnect,Rel
connective,Med
interconnected,
interconnect,
unconnected,
reconnection,Sci
connective,Hum
connexion,
journal,
initiative,
initiate,
initiation,Hum
initiator,
initiate,Hum
uninitiated,Hum
initiated,Hum
initiating,
enhance,
enhanced,
enhancement,
enhancer,Med
enhancing,Med
accurate,
accuracy,
accurately,
inaccurate,
inaccuracy,
inaccurately,
facility,
urban,
urbanization,
urbanized,
urbanize,His
urbanist,Soc
protect,
protection,
protective,
protected,
protector,
unprotected,
protectionism,His+Law
protectionist,His+Law
protectionist,His+Law
protecting,
protectiveness,
protectively,Hum
extent,
mental,
mentally,
mentality,
consequence,
institute,
institute,
content,
content,Edu
content,
device,
scholar,
scholarly,
visual,
visually,Soc
visualize,
visualization,
visuals,Edu
visualized,Edu
above,
above,
above,
unique,
uniquely,
uniqueness,
difficult,
difficulty,
discipline,
interdisciplinary,
disciplinary,
disciplined,
discipline,
undisciplined,
disciplinarian,
indiscipline,
disciplining,
disciplining,
sustain,
sustainable,
sustained,
sustainability,
unsustainable,
capacity,
incapacity,
perceive,
perceived,Soc
perceiving,Hum+Rel
ie,
ensure,
conclude,
concluding,
combine,
combination,
combined,
recombination,Sci
recombinant,Med
recombine,Sci
combine,
combining,
agricultural,
agriculture,
agriculturalist,Soc
agriculturist,
moreover,
emphasize,
rapidly,
rapid,
rapid,
rapidity,
approximately,
approximate,
approximation,
approximate,
accept,
acceptance,
acceptable,
accepted,
unacceptable,
acceptability,Edu
unacceptably,
acceptably,
acceptor,Sci
unacceptability,
sector,
sectoral,Law
commitment,
commit,
committed,
uncommitted,
experiment,
experimental,
experiment,
experimentation,
experimenter,
experimentally,Sci
experimentalist,Sci
experimentalism,Edu
implication,
implicate,
implicated,Med
evaluation,Edu
evaluate,
evaluative,Edu
evaluator,Edu
evaluating,
precisely,
precise,
precision,
imprecise,
imprecision,Hum
notion,
domestic,
domestically,Law
domesticity,Hum
domestic,His
restriction,
restrict,
restrictive,
restricted,
unrestricted,
restrictively,
consist,
actually,
actual,
actuality,
actualize,Rel
actualization,Edu+Rel
actualized,Edu+Rel
formal,
formally,
formalize,
formality,
formalism,Hum
formalized,
formalization,
formalistic,Hum
formalist,Hum
industry,
industrial,
industrialized,
industrialization,
industrialist,His
industrialize,
industrially,
industrialism,
industrializing,His
revolution,
revolutionary,
revolutionize,
revolutionary,Law
revolutionist,His
revolutionized,His
fundamental,
fundamentally,
fundamentalist,Rel
fundamentalist,Rel
fundamentalism,
fundamental,
essential,
essentially,
essential,
essentialized,Soc
essentialist,
essentiality,Hum
adapt,
adaptation,
adaptive,
adapter,Sci
maladaptive,Edu
adaptability,Edu
adaptable,
adapted,Soc
adaptor,Sci
adaption,Med
contact,
contact,
colleague,
dimension,
three-dimensional,Sci
dimensional,
account,
account,
accounting,
accounting,Sci
statistics,
statistical,
statistically,Edu
statistic,Edu
statistician,
theme,
thematic,Hum
thematically,Hum
themed,Edu
location,
locate,
relocate,
relocation,
locator,
locational,Soc
located,Edu
relocated,
locater,Sci+Fin
adequate,
inadequate,
adequately,
inadequately,
large,
largely,
large,
largish,Sci+Med
ideal,
ideal,
ideally,
idealism,
idealized,Hum
idealize,Hum
idealist,
idealization,Hum
idealist,Hum
philosophy,
philosophical,Rel
philosopher,
philosophic,Law
philosophically,
philosophize,
philosophizing,
minority,
minor,
minor,
hypothesis,
hypothesize,
hypothesized,Soc
psychological,
psychology,Edu
psychologist,Edu
psychologically,
enable,
enabler,Edu
enabling,
trend,
trend,
exchange,
exchange,
exchanger,Sci
exchangeable,
exchanged,
percentage,
sufficient,
sufficiently,
insufficient,
insufficiently,
substantial,
substantially,
insubstantial,Hum
substantiality,Law
explain,
explanation,
explanatory,
unexplained,Med
explained,Soc
explaining,
explainer,Hum
emotional,
emotion,
emotionally,
unemotional,Rel
preference,
prefer,
preferred,
preferential,
preferable,
preferably,
preferentially,Sci
preferment,
calculate,
calculation,
calculated,
calculator,
miscalculation,His
recalculate,
miscalculate,Law
calculating,
recalculation,
calculating,
external,
externalize,Med
externally,
externality,Law
externalizing,Edu+Med
external,Rel
externalization,
externalized,
code,
code,Soc
coding,Edu
coded,
flow,
flow,
flowing,
transition,
transitional,
subsequent,
subsequently,
subsequent,
phase,
phase,
phased,Edu
phasing,Sci
rural,
intensity,
intense,
intensive,
intensify,
intensely,
intensification,
intensively,
intensified,
intensifying,
monitor,
monitoring,
monitor,
monitored,Med
competition,
competitive,
compete,
competitor,Fin
competing,
competitiveness,
competitively,
uncompetitive,Law
core,
core,Med
volume,
framework,
incorporate,
incorporation,
incorporated,
unincorporated,
encounter,
encounter,
cite,
citation,
cited,Edu
attribute,
attribute,
attribution,Soc
attributable,
emphasis,
waste,
waste,
wasteful,
wasted,
waste,Sci
wastage,Edu
wastefulness,
wastefully,Law
waster,Med
wasting,
climate,
climatic,Sci
climatological,Med
climatically,
differ,
differing,
technical,
technically,
technical,Law
mechanism,
description,
descriptive,Edu
assert,
assertion,
assertive,
assertiveness,Edu
assertively,Edu
asserted,Law
unassertive,Edu+Hum
heparin,Sci
neutropenic,Med
fever,Med+Soc
assistance,
assist,Edu
automatic,Sci
assistant,
syndrome,Med
anti-tumor,Med
coronavirus:,Med
coronaviruses:,Med
endotracheal,Med
intubation,Med
autophagosome,Med
endoplasmic,Med
reticulum,mediate
assistant,
assisted,
assist,
unassisted,
assisting,Edu
interleukin-10,Med
hsv-induced,Med
copolymer,Sci
polymerization,Sci
polymerized,Sci
considerable,
glycol,Sci
considerably,
inconsiderable,His
modify,
modification,
modified,
modifier,Hum
unmodified,
isolation,
isolate,
isolated,
isolate,Med
isolationist,Law
isolationism,Law
isolating,
territory,
territorial,
territoriality,
territorially,
origin,
respectively,
respective,
irrespective,
judgment,
judge,Law
judge,
